hla1,hla2,sim
DQA1_0101__DQB1_0503,DQA1_0201__DQB1_0302,0.313
DRA_0101__DRB1_0401,DRA_0101__DRB1_1302,0.329
B__15_16,C__07_04,0.553
DRA_0101__DRB1_0403,DRA_0101__DRB1_1407,0.307
A__26_01,B__57_01,0.533
DQA1_0301__DQB1_0502,DQA1_0302__DQB1_0301,0.313
B__15_03,B__27_05,0.329
DRA_0101__DRB1_0803,DRA_0101__DRB1_1401,0.253
B__08_01,B__13_02,0.366
A__68_01,B__27_06,0.602
DRA_0101__DRB1_0401,DRA_0101__DRB1_1402,0.276
B__35_01,C__07_04,0.525
DQA1_0201__DQB1_0202,DQA1_0201__DQB1_0303,0.268
DQA1_0102__DQB1_0604,DQA1_0103__DQB1_0603,0.245
DRA_0101__DRB1_0408,DRA_0101__DRB1_1407,0.31
DRA_0101__DRB1_1303,DRA_0101__DRB1_1407,0.237
DQA1_0102__DQB1_0609,DQA1_0501__DQB1_0201,0.469
DQA1_0101__DQB1_0201,DQA1_0301__DQB1_0303,0.429
DRA_0101__DRB1_0401,DRA_0101__DRB1_1101,0.344
DQA1_0101__DQB1_0602,DQA1_0503__DQB1_0301,0.427
A__24_03,C__03_06,0.728
DQA1_0101__DQB1_0201,DQA1_0302__DQB1_0301,0.42
DRA_0101__DRB1_0103,DRA_0101__DRB1_1407,0.415
B__13_02,B__48_01,0.322
DRA_0101__DRB1_1104,DRA_0101__DRB1_1303,0.179
A__01_01,C__15_05,0.48
A__03_01,B__35_03,0.369
DQA1_0101__DQB1_0502,DQA1_0201__DQB1_0303,0.361
DRA_0101__DRB1_0404,DRA_0101__DRB1_1601,0.316
DRA_0101__DRB1_0403,DRA_0101__DRB1_1401,0.303
A__33_01,C__07_02,0.431
B__51_01,C__08_02,0.548
B__35_01,C__01_02,0.477
DRA_0101__DRB1_0102,DRA_0101__DRB1_0404,0.21
B__15_15,B__44_05,0.297
DQA1_0101__DQB1_0503,DQA1_0101__DQB1_0602,0.155
DQA1_0101__DQB1_0502,DQA1_0501__DQB1_0201,0.431
DRA_0101__DRB1_0403,DRA_0101__DRB1_0404,0.0
DRA_0101__DRB1_1402,DRA_0101__DRB1_1501,0.19
DQA1_0101__DQB1_0501,DQA1_0503__DQB1_0301,0.434
DRA_0101__DRB1_0103,DRA_0101__DRB1_1402,0.303
DQA1_0101__DQB1_0501,DQA1_0301__DQB1_0302,0.395
B__27_05,B__44_02,0.272
DQA1_0102__DQB1_0502,DQA1_0102__DQB1_0609,0.155
B__39_05,C__07_02,0.49
A__25_01,B__15_03,0.49
DRA_0101__DRB1_0301,DRA_0101__DRB1_1407,0.141
DRA_0101__DRB1_1501,DRA_0101__DRB1_1502,0.045
DRA_0101__DRB1_0101,DRA_0101__DRB1_0404,0.21
B__51_01,C__12_03,0.46
DRA_0101__DRB1_0301,DRA_0101__DRB1_0901,0.445
DQA1_0201__DQB1_0303,DQA1_0301__DQB1_0302,0.293
C__08_02,C__12_02,0.366
A__23_01,B__44_05,0.502
DRA_0101__DRB1_0407,DRA_0101__DRB1_0411,0.077
C__01_02,C__16_01,0.141
DRA_0101__DRB1_0803,DRA_0101__DRB1_1601,0.241
DQA1_0102__DQB1_0302,DQA1_0505__DQB1_0301,0.338
A__11_01,C__02_02,0.553
DQA1_0101__DQB1_0503,DQA1_0301__DQB1_0303,0.392
DRA_0101__DRB1_0404,DRA_0101__DRB1_1401,0.307
DQA1_0101__DQB1_0201,DQA1_0301__DQB1_0302,0.42
DQA1_0101__DQB1_0201,DQA1_0501__DQB1_0201,0.303
DQA1_0102__DQB1_0302,DQA1_0601__DQB1_0301,0.322
DQA1_0101__DQB1_0502,DQA1_0505__DQB1_0301,0.427
C__04_01,C__12_02,0.39
DRA_0101__DRB1_1101,DRA_0101__DRB1_1402,0.19
B__40_02,C__02_02,0.585
A__02_01,A__24_03,0.427
DQA1_0201__DQB1_0202,DQA1_0503__DQB1_0301,0.449
DQA1_0201__DQB1_0302,DQA1_0301__DQB1_0502,0.358
A__68_02,B__44_04,0.542
DRA_0101__DRB1_1101,DRA_0101__DRB1_1406,0.195
A__11_01,A__29_02,0.297
B__37_01,B__44_02,0.344
B__55_01,C__02_02,0.484
A__30_02,B__14_02,0.374
DRA_0101__DRB1_0301,DRA_0101__DRB1_0407,0.283
DQA1_0201__DQB1_0302,DQA1_0302__DQB1_0301,0.335
DQA1_0101__DQB1_0501,DQA1_0102__DQB1_0609,0.148
DRA_0101__DRB1_0404,DRA_0101__DRB1_1202,0.344
DRA_0101__DRB1_0403,DRA_0101__DRB1_1501,0.313
DRA_0101__DRB1_0103,DRA_0101__DRB1_1302,0.179
DQA1_0301__DQB1_0302,DQA1_0301__DQB1_0502,0.184
DQA1_0101__DQB1_0602,DQA1_0301__DQB1_0302,0.429
DQA1_0102__DQB1_0302,DQA1_0103__DQB1_0603,0.279
DQA1_0501__DQB1_0202,DQA1_0501__DQB1_0301,0.307
DRA_0101__DRB1_0701,DRA_0101__DRB1_1401,0.382
DRA_0101__DRB1_0102,DRA_0101__DRB1_1302,0.249
A__29_01,B__44_03,0.429
DQA1_0101__DQB1_0602,DQA1_0501__DQB1_0501,0.341
DRA_0101__DRB1_0803,DRA_0101__DRB1_1202,0.126
B__18_01,C__01_02,0.529
A__23_01,B__35_03,0.443
DQA1_0102__DQB1_0502,DQA1_0503__DQB1_0301,0.429
B__15_08,B__15_15,0.0
C__01_02,C__03_03,0.303
DQA1_0201__DQB1_0302,DQA1_0501__DQB1_0202,0.465
A__74_03,B__27_05,0.397
DRA_0101__DRB1_1201,DRA_0101__DRB1_1302,0.126
DRA_0101__DRB1_0101,DRA_0101__DRB1_1001,0.279
B__41_02,C__07_01,0.566
DQA1_0501__DQB1_0201,DQA1_0601__DQB1_0301,0.374
DRA_0101__DRB1_0801,DRA_0101__DRB1_1406,0.167
